1. Facebook (Menlo Park, CA)

2. Salesforce (San Francisco, CA)

3. Google (Mountain View, CA)

4. Hubspot (Cambridge, MA)

5. Deloitte (New York, NY)

6. Microsoft (Redmond, WA)

7. Capital One (McLean, VA)

8. Intuit (Mountain View, CA)

9. Zynga (San Francisco, CA)

10. Kaiser Permanente (Oakland, CA)

11. LinkedIn (Sunnyvale, CA)

12. Netflix (Los Gatos, CA)

13. Dropbox (San Francisco, CA)

14. Adobe (San Jose, CA)

15. Twitter (San Francisco, CA)

16. Cornerstone OnDemand (Santa Monica, CA)

17. Uber (San Francisco, CA)

18. Zillow (Seattle, WA)

19. T-Mobile (Bellevue, WA)

20. VMware (Palo Alto, CA)

21. Nevro (Redwood City, CA)

22. GoDaddy (Scottsdale, AZ)

23. Bloomberg (New York, NY)

24. Expedia Group (Bellevue, WA)

25. Cisco (San Jose, CA)

26. SAS (Cary, NC)

27. UiPath (New York, NY)

28. Blizzard Entertainment (Irvine, CA)

29. LogMeIn (Boston, MA)

30. Indeed.com (Austin, TX)

31. Costco (Issaquah, WA)

32. Liberty Mutual Insurance (Boston, MA)

33. Verizon (Basking Ridge, NJ)

34. PayPal (San Jose, CA)

35. General Motors (Detroit, MI)

36. Insight Global (Atlanta, GA)

37. Ernst & Young (EY) (New York, NY)

38. Samsung (San Jose, CA)

39. 3M (St. Paul, MN)

40. SAP (Newtown Square, PA)

41. Workfront (Lehi, UT)

42. Overstock.com (Midvale, UT)

43. GE Digital (San Ramon, CA)

44. Schneider Electric (North Andover, MA)

45. USAA (San Antonio, TX)

46. Groupon (Chicago, IL)

47. Edifecs (Bellevue, WA)

48. Axon (Scottsdale, AZ)

49. Aetna (Hartford, CT)

50. PwC (New York, NY)
